"","cluster_1","cluster_2","cluster_3"
"FAM71A",2,1,2
"BATF3",2,1,2
"NSL1",2,1,2
"TATDN3",2,1,2
"FLVCR1",2,1,2
"VASH2",2,1,2
"ANGEL2",2,1,2
"RPS6KC1",2,1,2
"PROX1",2,1,2
"SMYD2",2,1,2
"PTPN14",2,1,2
"CENPF",2,1,2
"KCNK2",2,1,2
"KCTD3",2,1,2
"USH2A",2,1,2
"ESRRG",2,1,2
"GPATCH2",2,1,2
"SPATA17",2,1,2
"RRP15",2,1,2
"TGFB2",2,1,2
"C1orf143",2,1,2
"LYPLAL1",2,1,2
"ZC3H11B",2,1,2
"SLC30A10",2,1,2
"EPRS",2,1,2
"BPNT1",2,1,2
"IARS2",2,1,2
"RAB3GAP2",2,1,2
"MARK1",2,1,2
"C1orf115",2,1,2
"MARC2",2,1,2
"MARC1",2,1,2
"RNU6ATAC35P",2,1,2
"HLX",2,1,2
"DUSP10",2,1,2
"HHIPL2",2,1,2
"TAF1A",2,1,2
"MIA3",2,1,2
"AIDA",2,1,2
"BROX",2,1,2
"DISP1",2,1,2
"TLR5",2,1,2
"SUSD4",2,1,2
"CAPN8",2,1,2
"CAPN2",2,1,2
"TP53BP2",2,1,2
"FBXO28",2,1,2
"DEGS1",2,1,2
"NVL",2,1,2
"CNIH4",2,1,2
"WDR26",2,1,2
"CNIH3",2,1,2
"DNAH14",2,1,2
"LBR",2,1,2
"ENAH",2,1,2
"SRP9",2,1,2
"DLG5",2,1,2
"AL391421.1",2,1,2
"POLR3A",2,1,2
"RPS24",2,1,2
"LINC00595",2,1,2
"ZMIZ1-AS1",2,1,2
"ZMIZ1",2,1,2
"PPIF",2,1,2
"ZCCHC24",2,1,2
"EIF5AL1",2,1,2
"SFTPA2",2,1,2
"SFTPA1",2,1,2
"NUTM2B",2,1,2
"SFTPD",2,1,2
"TMEM254-AS1",2,1,2
"TMEM254",2,1,2
"PLAC9",2,1,2
"ANXA11",2,1,2
"LINC00857",2,1,2
"MAT1A",2,1,2
"DYDC1",2,1,2
"DYDC2",2,1,2
"FAM213A",2,1,2
"TSPAN14",2,1,2
"SH2D4B",2,1,2
"NRG3",2,1,2
"GHITM",2,1,2
"C10orf99",2,1,2
"CDHR1",2,1,2
"RGR",2,1,2
"LINC00858",2,1,2
"CCSER2",2,1,2
"GRID1",2,1,2
"LDB3",2,1,2
"BMPR1A",2,1,2
"MMRN2",2,1,2
"SNCG",2,1,2
"ADIRF",2,1,2
"FAM25A",2,1,2
"GLUD1",2,1,2
"NUTM2A",2,1,2
"NUTM2A-AS1",2,1,2
"NUTM2D",2,1,2
"MINPP1",2,1,2
"PAPSS2",2,1,2
"ATAD1",2,1,2
"KLLN",2,1,2
"PTEN",2,1,2
"RNLS",2,1,2
"LIPJ",2,1,2
"LIPF",2,1,2
"ANKRD22",2,1,2
"STAMBPL1",2,1,2
"ACTA2-AS1",2,1,2
"ACTA2",2,1,2
"FAS",2,1,2
"CH25H",2,1,2
"AL353751.1",2,1,2
"IFIT2",2,1,2
"LIPA",2,1,2
"IFIT3",2,1,2
"IFIT1",2,1,2
"IFIT5",2,1,2
"SLC16A12",2,1,2
"PANK1",2,1,2
"KIF20B",2,1,2
"LINC00865",2,1,2
"HTR7",2,1,2
"RPP30",2,1,2
"ANKRD1",2,1,2
"PCGF5",2,1,2
"HECTD2",2,1,2
"PPP1R3C",2,1,2
"TNKS2-AS1",2,1,2
"TNKS2",2,1,2
"FGFBP3",2,1,2
"BTAF1",2,1,2
"CPEB3",2,1,2
"MARCH5",2,1,2
"IDE",2,1,2
"KIF11",2,1,2
"HHEX",2,1,2
"EXOC6",2,1,2
"CYP26C1",2,1,2
"CYP26A1",2,1,2
"MYOF",2,1,2
"CEP55",2,1,2
"FFAR4",2,1,2
"RBP4",2,1,2
"PDE6C",2,1,2
"FRA10AC1",2,1,2
"LGI1",2,1,2
"SLC35G1",2,1,2
"PLCE1",2,1,2
"NOC3L",2,1,2
"TBC1D12",2,1,2
"HELLS",2,1,2
"CYP2C8",2,1,2
"PDLIM1",2,1,2
"SORBS1",2,1,2
"ALDH18A1",2,1,2
"TCTN3",2,1,2
"ENTPD1",2,1,2
"ENTPD1-AS1",2,1,2
"CC2D2B",2,1,2
"CCNJ",2,1,2
"ZNF518A",2,1,2
"BLNK",2,1,2
"TLL2",2,1,2
"TM9SF3",2,1,2
"PIK3AP1",2,1,2
"LCOR",2,1,2
"ARHGAP19-SLIT1",2,1,2
"ARHGAP19",2,1,2
"FRAT1",2,1,2
"FRAT2",2,1,2
"RRP12",2,1,2
"PGAM1",2,1,2
"EXOSC1",2,1,2
"ZDHHC16",2,1,2
"MMS19",2,1,2
"AL355490.2",2,1,2
"UBTD1",2,1,2
"ANKRD2",2,1,2
"C10orf62",2,1,2
"HOGA1",2,1,2
"MORN4",2,1,2
"PI4K2A",2,1,2
"AVPI1",2,1,2
"MARVELD1",2,1,2
"ZFYVE27",2,1,2
"SFRP5",2,1,2
"GOLGA7B",2,1,2
"CRTAC1",2,1,2
"R3HCC1L",2,1,2
"LOXL4",2,1,2
"PYROXD2",2,1,2
