"","cluster_1","cluster_2","cluster_3"
"LAG3",2,2,1
"CD4",2,2,1
"GPR162",2,2,1
"GNB3",2,2,1
"CDCA3",2,2,1
"USP5",2,2,1
"TPI1",2,2,1
"SPSB2",2,2,1
"LRRC23",2,2,1
"ENO2",2,2,1
"ATN1",2,2,1
"C12orf57",2,2,1
"PTPN6",2,2,1
"PHB2",2,2,1
"EMG1",2,2,1
"LPCAT3",2,2,1
"C1S",2,2,1
"C1R",2,2,1
"C1RL",2,2,1
"C1RL-AS1",2,2,1
"RBP5",2,2,1
"CLSTN3",2,2,1
"PEX5",2,2,1
"CD163L1",2,2,1
"GDF3",2,2,1
"DPPA3",2,2,1
"NANOGNB",2,2,1
"NANOG",2,2,1
"SLC2A14",2,2,1
"SLC2A3",2,2,1
"FOXJ2",2,2,1
"C3AR1",2,2,1
"NECAP1",2,2,1
"CLEC4A",2,2,1
"FAM66C",2,2,1
"FAM90A1",2,2,1
"AC092111.1",2,2,1
"AC092745.1",2,2,1
"LINC00937",2,2,1
"CLEC6A",2,2,1
"CLEC4D",2,2,1
"MFAP5",2,2,1
"RIMKLB",2,2,1
"A2ML1-AS1",2,2,1
"A2ML1",2,2,1
"PHC1",2,2,1
"M6PR",2,2,1
"KLRG1",2,2,1
"A2M-AS1",2,2,1
"A2M",2,2,1
"PZP",2,2,1
"LINC00987",2,2,1
"CLEC2D",2,2,1
"CLECL1",2,2,1
"CD69",2,2,1
"KLRF1",2,2,1
"CLEC2B",2,2,1
"CLEC12A",2,2,1
"CLEC9A",2,2,1
"CLEC1A",2,2,1
"CLEC7A",2,2,1
"GABARAPL1",2,2,1
"KLRD1",2,2,1
"KLRC2",2,2,1
"KLRC1",2,2,1
"MAGOHB",2,2,1
"STYK1",2,2,1
"YBX3",2,2,1
"TAS2R8",2,2,1
"TAS2R10",2,2,1
"PRH1",2,2,1
"TAS2R13",2,2,1
"TAS2R50",2,2,1
"TAS2R20",2,2,1
"PRR4",2,2,1
"TAS2R19",2,2,1
"TAS2R31",2,2,1
"TAS2R14",2,2,1
"TAS2R46",2,2,1
"TAS2R43",2,2,1
"TAS2R30",2,2,1
"PRB3",2,2,1
"PRB4",2,2,1
"ETV6",2,2,1
"BCL2L14",2,2,1
"LRP6",2,2,1
"MANSC1",2,2,1
"LOH12CR2",2,2,1
"DUSP16",2,2,1
"CREBL2",2,2,1
"GPR19",2,2,1
"CDKN1B",2,2,1
"APOLD1",2,2,1
"DDX47",2,2,1
"GPRC5A",2,2,1
"HEBP1",2,2,1
"GSG1",2,2,1
"EMP1",2,2,1
"GRIN2B",2,2,1
"ATF7IP",2,2,1
"PLBD1",2,2,1
"GUCY2C",2,2,1
"HIST4H4",2,2,1
"H2AFJ",2,2,1
"WBP11",2,2,1
"ART4",2,2,1
"C12orf60",2,2,1
"MGP",2,2,1
"ERP27",2,2,1
"ARHGDIB",2,2,1
"PDE6H",2,2,1
"RERG",2,2,1
"PTPRO",2,2,1
"EPS8",2,2,1
"STRAP",2,2,1
"DERA",2,2,1
"MGST1",2,2,1
"LMO3",2,2,1
"PLEKHA5",2,2,1
"AEBP2",2,2,1
"PDE3A",2,2,1
"SLCO1C1",2,2,1
"SLCO1B3",2,2,1
"SLCO1A2",2,2,1
"IAPP",2,2,1
"PYROXD1",2,2,1
"RECQL",2,2,1
"GOLT1B",2,2,1
"GYS2",2,2,1
"LDHB",2,2,1
"KCNJ8",2,2,1
"ABCC9",2,2,1
"CMAS",2,2,1
"ST8SIA1",2,2,1
"C2CD5",2,2,1
"ETNK1",2,2,1
"SOX5",2,2,1
"BCAT1",2,2,1
"C12orf77",2,2,1
"LRMP",2,2,1
"CASC1",2,2,1
"KRAS",2,2,1
"AC087239.1",2,2,1
"RASSF8-AS1",2,2,1
"RASSF8",2,2,1
"BHLHE41",2,2,1
"SSPN",2,2,1
"ITPR2",2,2,1
"FGFR1OP2",2,2,1
"AC024896.1",2,2,1
"TM7SF3",2,2,1
"MED21",2,2,1
"STK38L",2,2,1
"ARNTL2",2,2,1
"SMCO2",2,2,1
"PPFIBP1",2,2,1
"REP15",2,2,1
"MRPS35",2,2,1
"MANSC4",2,2,1
"KLHL42",2,2,1
"PTHLH",2,2,1
"CCDC91",2,2,1
"AC012150.1",2,2,1
"FAR2",2,2,1
"ERGIC2",2,2,1
"OVCH1-AS1",2,2,1
"OVCH1",2,2,1
"TMTC1",2,2,1
"IPO8",2,2,1
"CAPRIN2",2,2,1
"LINC00941",2,2,1
"TSPAN11",2,2,1
"DDX11-AS1",2,2,1
"DDX11",2,2,1
"AC024940.1",2,2,1
"DENND5B",2,2,1
"DENND5B-AS1",2,2,1
"AMN1",2,2,1
"H3F3C",2,2,1
"KIAA1551",2,2,1
"BICD1",2,2,1
"FGD4",2,2,1
"DNM1L",2,2,1
"YARS2",2,2,1
"PKP2",2,2,1
"SYT10",2,2,1
"ALG10",2,2,1
"ALG10B",2,2,1
"CPNE8",2,2,1
"AC067735.1",2,2,1
"KIF21A",2,2,1
"ABCD2",2,2,1
"SLC2A13",2,2,1
"LRRK2",2,2,1
"MUC19",2,2,1
"CNTN1",2,2,1
"PDZRN4",2,2,1
"GXYLT1",2,2,1
"YAF2",2,2,1
"ZCRB1",2,2,1
"PPHLN1",2,2,1
"PRICKLE1",2,2,1
"PUS7L",2,2,1
"IRAK4",2,2,1
"TWF1",2,2,1
"TMEM117",2,2,1
"NELL2",2,2,1
"DBX2",2,2,1
"ANO6",2,2,1
"ARID2",2,2,1
"SCAF11",2,2,1
"SLC38A1",2,2,1
"SLC38A2",2,2,1
"SLC38A4",2,2,1
"AMIGO2",2,2,1
"PCED1B",2,2,1
"RPAP3",2,2,1
"ENDOU",2,2,1
"RAPGEF3",2,2,1
"SLC48A1",2,2,1
"AC004466.1",2,2,1
"HDAC7",2,2,1
"VDR",2,2,1
"TMEM106C",2,2,1
"COL2A1",2,2,1
"SENP1",2,2,1
"PFKM",2,2,1
"ASB8",2,2,1
"H1FNT",2,2,1
"ZNF641",2,2,1
"ANP32D",2,2,1
"C12orf54",2,2,1
"OR4K2",4,3,2
"OR11G2",4,3,2
"AL356019.1",4,3,2
"OR11H4",4,3,2
"TTC5",4,3,2
"CCNB1IP1",4,3,2
"PARP2",4,3,2
"TEP1",4,3,2
"KLHL33",4,3,2
"OSGEP",4,3,2
"APEX1",4,3,2
"PNP",4,3,2
"RNASE9",4,3,2
"ANG",4,3,2
"RNASE4",4,3,2
"EDDM3B",4,3,2
"RNASE6",4,3,2
"RNASE1",4,3,2
"METTL17",4,3,2
"SLC39A2",4,3,2
"TPPP2",4,3,2
"RNASE13",4,3,2
"RNASE7",4,3,2
"NDRG2",4,3,2
"RNASE8",4,3,2
"ARHGEF40",4,3,2
"ZNF219",4,3,2
"TMEM253",4,3,2
"OR5AU1",4,3,2
"HNRNPC",4,3,2
"RPGRIP1",4,3,2
"SUPT16H",4,3,2
"CHD8",4,3,2
"RAB2B",4,3,2
"TOX4",4,3,2
"METTL3",4,3,2
"SALL2",4,3,2
"OR10G3",4,3,2
"TRAV3",4,3,2
"TRAV8-2",4,3,2
"TRAV26-2",4,3,2
"TRAV38-2DV8",4,3,2
"TRDC",4,3,2
"TRDV3",4,3,2
"MDGA2",4,3,2
"LINC00648",4,3,2
"RPS29",4,3,2
"AL139099.1",4,3,2
"LRR1",4,3,2
"RPL36AL",4,3,2
"MGAT2",4,3,2
"DNAAF2",4,3,2
"POLE2",4,3,2
"KLHDC1",4,3,2
"KLHDC2",4,3,2
"NEMF",4,3,2
"AL627171.2",4,3,2
"AL627171.1",4,3,2
"ARF6",4,3,2
"VCPKMT",4,3,2
"SOS2",4,3,2
"L2HGDH",4,3,2
"ATP5S",4,3,2
"CDKL1",4,3,2
"MAP4K5",4,3,2
"ATL1",4,1,1
"SAV1",4,1,1
"NIN",4,1,1
"ABHD12B",4,1,1
"PYGL",4,1,1
"WASIR2",3,2,2
"POLR3K",3,2,2
"SNRNP25",3,2,2
"RHBDF1",3,2,2
"MPG",3,2,2
"NPRL3",3,2,2
"HBZ",3,2,2
"HBM",3,2,2
"HBA2",3,2,2
"HBA1",3,2,2
"HBQ1",3,2,2
"LUC7L",3,2,2
"RGS11",3,2,2
"ARHGDIG",3,2,2
"PDIA2",3,2,2
"AXIN1",3,2,2
"MRPL28",3,2,2
"TMEM8A",3,2,2
"NME4",3,2,2
"DECR2",3,2,2
"RAB11FIP3",3,2,2
"CAPN15",3,2,2
"NHLRC4",3,2,2
"PIGQ",3,2,2
"RAB40C",3,2,2
"WFIKKN1",3,2,2
"AL022341.1",3,2,2
"WDR90",3,2,2
"RHOT2",3,2,2
"RHBDL1",3,2,2
"STUB1",3,2,2
"JMJD8",3,2,2
"WDR24",3,2,2
"FBXL16",3,2,2
"METRN",3,2,2
"FAM173A",3,2,2
"CCDC78",3,2,2
"HAGHL",3,2,2
"NARFL",3,2,2
"MSLN",3,2,2
"MSLNL",3,2,2
"RPUSD1",3,2,2
"CHTF18",3,2,2
"GNG13",3,2,2
"PRR25",3,2,2
"LMF1",3,2,2
"AC009041.2",3,2,2
"SOX8",3,2,2
"AC009041.1",3,2,2
"CACNA1H",3,2,2
"TPSAB1",3,2,2
"UBE2I",3,2,2
"BAIAP3",3,2,2
"TSR3",3,2,2
"GNPTG",3,2,2
"UNKL",3,2,2
"C16orf91",3,2,2
"CCDC154",3,2,2
"CLCN7",3,2,2
"TELO2",3,2,2
"TMEM204",3,2,2
"IFT140",3,2,2
"MAPK8IP3",3,2,2
"NME3",3,2,2
"MRPS34",3,2,2
"EME2",3,2,2
"SPSB3",3,2,2
"NUBP2",3,2,2
"IGFALS",3,2,2
"HAGH",3,2,2
"FAHD1",3,2,2
"MEIOB",3,2,2
"HS3ST6",3,2,2
"MSRB1",3,2,2
"RPL3L",3,2,2
"NDUFB10",3,2,2
"RPS2",3,2,2
"SNHG9",3,2,2
"RNF151",3,2,2
"TBL3",3,2,2
"NOXO1",3,2,2
"AC005606.1",3,2,2
"GFER",3,2,2
"SYNGR3",3,2,2
"ZNF598",3,2,2
"NPW",3,2,2
"SLC9A3R2",3,2,2
"NTHL1",3,2,2
"TSC2",3,2,2
"PKD1",3,2,2
"RAB26",3,2,2
"TRAF7",3,2,2
"CASKIN1",3,2,2
"AC009065.3",3,2,2
"MLST8",3,2,2
"BRICD5",3,2,2
"PGP",3,2,2
"E4F1",3,2,2
"DNASE1L2",3,2,2
"ECI1",3,2,2
"AC009065.1",3,2,2
"RNPS1",3,2,2
"ABCA3",3,2,2
"CCNF",3,2,2
"NTN3",3,2,2
"TBC1D24",3,2,2
"ATP6V0C",3,2,2
"AMDHD2",3,2,2
"CEMP1",3,2,2
"PDPK1",3,2,2
"KCTD5",3,2,2
"AC092117.1",3,2,2
"PRSS27",3,2,2
"SRRM2-AS1",3,2,2
"SRRM2",3,2,2
"PRSS33",3,2,2
"PRSS41",3,2,2
"PRSS21",3,2,2
"ZG16B",3,2,2
"PRSS22",3,2,2
"FLYWCH2",3,2,2
"FLYWCH1",3,2,2
"KREMEN2",3,2,2
"PAQR4",3,2,2
"PKMYT1",3,2,2
"CLDN9",3,2,2
"CLDN6",3,2,2
"TNFRSF12A",3,2,2
"HCFC1R1",3,2,2
"THOC6",3,2,2
"MMP25",3,2,2
"IL32",3,2,2
"ZSCAN10",3,2,2
"ZNF205",3,2,2
"ZNF213",3,2,2
"ZNF200",3,2,2
"MEFV",3,2,2
"ZNF263",3,2,2
"TIGD7",3,2,2
"ZNF75A",3,2,2
"MTRNR2L4",3,2,2
"ZSCAN32",3,2,2
"ZNF174",3,2,2
"ZNF597",3,2,2
"NAA60",3,2,2
"C16orf90",3,2,2
"CLUAP1",3,2,2
"NLRC3",3,2,2
"SLX4",3,2,2
"DNASE1",3,2,2
"TRAP1",3,2,2
"CREBBP",3,2,2
"ADCY9",3,2,2
"SRL",3,2,2
"TFAP4",3,2,2
"GLIS2",3,2,2
"PAM16",3,2,2
"VASN",3,2,2
"CORO7-PAM16",3,2,2
"CORO7",3,2,2
"DNAJA3",3,2,2
"NMRAL1",3,2,2
"HMOX2",3,2,2
"CDIP1",3,2,2
"C16orf96",3,2,2
"UBALD1",3,2,2
"MGRN1",3,2,2
"NUDT16L1",3,2,2
"ANKS3",3,2,2
"C16orf71",3,2,2
"ZNF500",3,2,2
"SEPT12",3,2,2
"SMIM22",3,2,2
"ROGDI",3,2,2
"GLYR1",3,2,2
"UBN1",3,2,2
"PPL",3,2,2
"SEC14L5",3,2,2
"NAGPA",3,2,2
"C16orf89",3,2,2
"ALG1",3,2,2
"RBFOX1",3,2,2
"METTL22",3,2,2
"ABAT",3,2,2
"TMEM186",3,2,2
"PMM2",3,2,2
"CARHSP1",3,2,2
"USP7",3,2,2
"C16orf72",3,2,2
"GRIN2A",3,2,2
"ATF7IP2",3,2,2
"EMP2",3,2,2
"TEKT5",3,2,2
"NUBP1",3,2,2
"TVP23A",3,2,2
"CIITA",3,2,2
"DEXI",3,2,2
"CLEC16A",3,2,2
"SOCS1",3,2,2
"RMI2",3,2,2
"LITAF",3,2,2
"SNN",3,2,2
"TXNDC11",3,2,2
"ZC3H7A",3,2,2
"BCAR4",3,2,2
"RSL1D1",3,2,2
"GSPT1",3,2,2
"TNFRSF17",3,2,2
"AC007216.2",3,2,2
"SNX29",3,2,2
"CPPED1",3,2,2
"SHISA9",3,2,2
"U91319.1",3,2,2
"ERCC4",3,2,2
"MKL2",3,2,2
"PARN",3,2,2
"BFAR",3,2,2
"PLA2G10",3,2,2
"NPIPA3",3,2,2
"NPIPA2",3,2,2
"NOMO1",3,2,2
"NPIPA1",3,2,2
"NTAN1",3,2,2
"PDXDC1",3,2,2
"RRN3",3,2,2
"AC126763.1",3,2,2
"NPIPA5",3,2,2
"MPV17L",3,2,2
"C16orf45",3,2,2
"NDE1",3,2,2
"MYH11",3,2,2
"FOPNL",3,2,2
"ABCC1",3,2,2
"ABCC6",3,2,2
"NOMO3",3,2,2
"NPIPA7",3,2,2
"XYLT1",3,2,2
"NOMO2",3,2,2
"RPS15A",3,2,2
"ARL6IP1",3,2,2
"SMG1",3,2,2
"AC092287.1",3,2,2
"TMC7",3,2,2
"COQ7",3,2,2
"ITPRIPL2",3,2,2
"SYT17",3,2,2
"CLEC19A",3,2,2
"TMC5",3,2,2
"GDE1",3,2,2
"CCP110",3,2,2
"KNOP1",3,2,2
"IQCK",3,2,2
"GPRC5B",3,2,2
"ACSM5",3,2,2
"ACSM2A",3,2,2
"ACSM2B",3,2,2
"ACSM1",3,2,2
"ACSM3",3,2,2
"THUMPD1",3,2,2
"ERI2",3,2,2
"DCUN1D3",3,2,2
"LYRM1",3,2,2
"DNAH3",3,2,2
"TMEM159",3,2,2
"CRYM",3,2,2
"NPIPB3",3,2,2
"METTL9",3,2,2
"IGSF6",3,2,2
"OTOA",3,2,2
"NPIPB4",3,2,2
"UQCRC2",3,2,2
"VWA3A",3,2,2
"SDR42E2",3,2,2
"EEF2K",3,2,2
"POLR3E",3,2,2
"CDR2",3,2,2
"NPIPB5",3,2,2
"HS3ST2",3,2,2
"USP31",3,2,2
"SCNN1G",3,2,2
"SCNN1B",3,2,2
"COG7",3,2,2
"GGA2",3,2,2
"EARS2",3,2,2
"UBFD1",3,2,2
"NDUFAB1",3,2,2
"PALB2",3,2,2
"DCTN5",3,2,2
"PLK1",3,2,2
"ERN2",3,2,2
"CHP2",3,2,2
"PRKCB",3,2,2
"AC008938.1",3,2,2
"RBBP6",3,2,2
"TNRC6A",3,2,2
"SLC5A11",3,2,2
"AC008731.1",3,2,2
"ARHGAP17",3,2,2
"LCMT1",3,2,2
"AQP8",3,2,2
"ZKSCAN2",3,2,2
"C16orf82",3,2,2
"KDM8",3,2,2
"NSMCE1",3,2,2
"IL4R",3,2,2
"IL21R-AS1",3,2,2
"GTF3C1",3,2,2
"KIAA0556",3,2,2
"GSG1L",3,2,2
"PIK3C3",5,4,3
"LINC00907",5,4,3
"RIT2",5,4,3
"SYT4",5,4,3
"SETBP1",5,4,3
"SLC14A2",5,4,3
"SLC14A1",5,4,3
"SIGLEC15",5,4,3
"EPG5",5,4,3
"PSTPIP2",5,4,3
"HAUS1",5,4,3
"C18orf25",5,4,3
"RNF165",5,4,3
"ST8SIA5",5,2,2
"PIAS2",5,2,2
"C19orf57",2,2,3
"CC2D1A",2,2,3
"PODNL1",2,2,3
"DCAF15",2,2,3
"RFX1",2,2,3
"IL27RA",2,2,3
"PALM3",2,2,3
"C19orf67",2,2,3
"SAMD1",2,2,3
"PRKACA",2,2,3
"ASF1B",2,2,3
"DDX39A",2,2,3
"PKN1",2,2,3
"PTGER1",2,2,3
"GIPC1",2,2,3
"DNAJB1",2,2,3
"TECR",2,2,3
"NDUFB7",2,2,3
"ZNF333",2,2,3
"OR7C1",2,2,3
"OR7A5",2,2,3
"OR7A17",2,2,3
"SLC1A6",2,2,3
"OR1I1",2,2,3
"SYDE1",2,2,3
"ILVBL",2,2,3
"AC003956.1",2,2,3
"NOTCH3",2,2,3
"EPHX3",2,2,3
"BRD4",2,2,3
"AKAP8",2,2,3
"AKAP8L",2,2,3
"WIZ",2,2,3
"RASAL3",2,2,3
"CYP4F8",2,2,3
"CYP4F3",2,2,3
"CYP4F12",2,2,3
"OR10H1",2,2,3
"UCA1",2,2,3
"CYP4F11",2,2,3
"TPM4",2,2,3
"RAB8A",2,2,3
"HSH2D",2,2,3
"CIB3",2,2,3
"FAM32A",2,2,3
"AP1M1",2,2,3
"KLF2",2,2,3
"EPS15L1",2,2,3
"CALR3",2,2,3
"C19orf44",2,2,3
"CHERP",2,2,3
"SLC35E1",2,2,3
"MED26",2,2,3
"SMIM7",2,2,3
"TMEM38A",2,2,3
"NWD1",2,2,3
"SIN3B",2,2,3
"F2RL3",2,2,3
"CPAMD8",2,2,3
"HAUS8",2,2,3
"MYO9B",2,2,3
"USE1",2,2,3
"OCEL1",2,2,3
"NR2F6",2,2,3
"USHBP1",2,2,3
"BABAM1",2,2,3
"ANKLE1",2,2,3
"MRPL34",2,2,3
"ABHD8",2,2,3
"DDA1",2,2,3
"ANO8",2,2,3
"GTPBP3",2,2,3
"PLVAP",2,2,3
"BST2",2,2,3
"MVB12A",2,2,3
"TMEM221",2,2,3
"NXNL1",2,2,3
"SLC27A1",2,2,3
"PGLS",2,2,3
"FAM129C",2,2,3
"COLGALT1",2,2,3
"UNC13A",2,2,3
"MAP1S",2,2,3
"FCHO1",2,2,3
"B3GNT3",2,2,3
"INSL3",2,2,3
"JAK3",2,2,3
"RPL18A",2,2,3
"SLC5A5",2,2,3
"CCDC124",2,2,3
"KCNN1",2,2,3
"ARRDC2",2,2,3
"IL12RB1",2,2,3
"MAST3",2,2,3
"PIK3R2",2,2,3
"IFI30",2,2,3
"MPV17L2",2,2,3
"RAB3A",2,2,3
"PDE4C",2,2,3
"JUND",2,2,3
"LSM4",2,2,3
"PGPEP1",2,2,3
"GDF15",2,2,3
"LRRC25",2,2,3
"AC008397.1",2,2,3
"SSBP4",2,2,3
"ISYNA1",2,2,3
"ELL",2,2,3
"FKBP8",2,2,3
"KXD1",2,2,3
"UBA52",2,2,3
"CRLF1",2,2,3
"TMEM59L",2,2,3
"KLHL26",2,2,3
"CRTC1",2,2,3
"COMP",2,2,3
"UPF1",2,2,3
"CERS1",2,2,3
"COPE",2,2,3
"DDX49",2,2,3
"HOMER3",2,2,3
"SUGP2",2,2,3
"ARMC6",2,2,3
"SLC25A42",2,2,3
"TMEM161A",2,2,3
"MEF2B",2,2,3
"RFXANK",2,2,3
"NR2C2AP",2,2,3
"NCAN",2,2,3
"HAPLN4",2,2,3
"TM6SF2",2,2,3
"SUGP1",2,2,3
"MAU2",2,2,3
"GATAD2A",2,2,3
"TSSK6",2,2,3
"NDUFA13",2,2,3
"YJEFN3",2,2,3
"CILP2",2,2,3
"PBX4",2,2,3
"AC002306.1",2,2,3
"LPAR2",2,2,3
"GMIP",2,2,3
"ATP13A1",2,2,3
"ZNF101",2,2,3
"ZNF14",2,2,3
"LINC00663",2,2,3
"ZNF506",2,2,3
"ZNF253",2,2,3
"ZNF93",2,2,3
"ZNF682",2,2,3
"ZNF90",2,2,3
"ZNF486",2,2,3
"ZNF737",2,2,3
"ZNF626",2,2,3
"ZNF66",2,2,3
"AC010329.1",2,2,3
"ZNF85",2,2,3
"ZNF430",2,2,3
"ZNF714",2,2,3
"ZNF431",2,2,3
"ZNF708",2,2,3
"ZNF738",2,2,3
"ZNF493",2,2,3
"LINC00664",2,2,3
"ZNF429",2,2,3
"ZNF100",2,2,3
"ZNF43",2,2,3
"ZNF208",2,2,3
"ZNF257",2,2,3
"ZNF676",2,2,3
"ZNF729",2,2,3
"AC025811.1",2,2,3
"ZNF98",2,2,3
"ZNF492",2,2,3
"ZNF99",2,2,3
"ZNF723",2,2,3
"ZNF728",2,2,3
"ZNF730",2,2,3
"AC092329.1",2,2,3
"ZNF91",2,2,3
"ZNF675",2,2,3
"ZNF681",2,2,3
"ZNF726",2,2,3
"ZNF254",2,2,3
"LINC00662",2,2,3
"AC005307.1",2,2,3
"AC005616.1",2,2,3
"AC011524.1",2,2,3
"AC011524.2",2,2,3
"LINC00906",2,2,3
"UQCRFS1",2,2,3
"POP4",2,2,3
"PLEKHF1",2,2,3
"C19orf12",2,2,3
"CCNE1",2,2,3
"URI1",2,2,3
"FHIT",2,1,1
"PTPRG",2,2,1
"C3orf14",2,2,1
"CADPS",2,2,1
"SYNPR",2,2,1
"SYNPR-AS1",2,2,1
"SNTN",2,2,1
"THOC7",2,2,1
"ATXN7",2,2,1
"PSMD6-AS2",2,2,1
"PSMD6",2,2,1
"PRICKLE2-AS3",2,2,1
"PRICKLE2",2,2,1
"ADAMTS9",2,2,1
"ADAMTS9-AS2",2,2,1
"MAGI1",2,2,1
"MAGI1-AS1",2,2,1
"SLC25A26",2,2,1
"LRIG1",2,2,1
"KBTBD8",2,2,1
"SUCLG2",2,2,1
"FAM19A1",2,2,1
"FAM19A4",2,2,1
"EOGT",2,2,1
"TMF1",2,2,1
"UBA3",2,2,1
"ARL6IP5",2,2,1
"LMOD3",2,2,1
"FRMD4B",2,2,1
"MITF",2,2,1
"FOXP1",2,2,1
"FOXP1-AS1",2,2,1
"EIF4E3",2,2,1
"GPR27",2,2,1
"PROK2",2,2,1
"LINC00877",2,3,1
"LINC00870",2,3,1
"RYBP",2,3,1
"SHQ1",2,3,1
"GXYLT2",2,3,1
"PPP4R2",2,3,1
"EBLN2",2,3,1
"PDZRN3",2,3,1
"PDZRN3-AS1",2,3,1
"CNTN3",2,3,1
"LINC00960",2,3,2
"ZNF717",2,3,2
"ROBO2",2,3,2
"ROBO1",2,3,2
"GBE1",2,3,2
"LINC00971",2,3,2
"CADM2",2,3,2
"VGLL3",2,3,2
"CHMP2B",2,3,2
"HTR1F",2,3,2
"CGGBP1",2,3,2
"ZNF654",2,3,2
"C3orf38",2,3,2
"EPHA3",2,3,2
"CLDND1",2,3,2
"CPOX",2,3,2
"ST3GAL6-AS1",2,3,2
"ST3GAL6",2,3,2
"DCBLD2",2,3,2
"LINC00973",2,3,2
"COL8A1",2,3,2
"FILIP1L",2,3,2
"CMSS1",2,3,2
"TBC1D23",2,3,2
"NIT2",2,3,2
"LNP1",2,3,2
"TMEM45A",2,3,2
"TFG",2,3,2
"ABI3BP",2,3,2
"IMPG2",2,3,2
"SENP7",2,3,2
"TRMT10C",2,3,2
"PCNP",2,3,2
"ZBTB11",2,3,2
"ZBTB11-AS1",2,3,2
"RPL24",2,3,2
"CEP97",2,3,2
"NXPE3",2,3,2
"NFKBIZ",2,3,2
"ALCAM",2,3,2
"CBLB",2,3,2
"LINC00882",2,3,2
"AC063944.1",2,3,2
"BBX",2,3,2
"LINC00635",2,3,2
"LINC00636",2,3,2
"CD47",2,3,2
"IFT57",2,3,2
"HHLA2",2,3,2
"MYH15",2,3,2
"DZIP3",2,3,2
"RETNLB",2,3,2
"TRAT1",2,3,2
"MORC1",2,3,2
"LINC00488",2,3,2
"DPPA2",2,3,2
"DPPA4",2,3,2
"CD96",2,3,2
"ZBED2",2,3,2
"PLCXD2",2,3,2
"PHLDB2",2,3,2
"ABHD10",2,3,2
"TMPRSS7",2,3,2
"C3orf52",2,3,2
"GCSAM",2,3,2
"SLC9C1",2,3,2
"CD200",2,3,2
"BTLA",2,3,2
"ATG3",2,3,2
"SLC35A5",2,3,2
"CCDC80",2,3,2
"CD200R1",2,3,2
"GTPBP8",2,3,2
"AC078785.1",2,3,2
"BOC",2,3,2
"SPICE1",2,3,2
"SIDT1",2,3,2
"SIDT1-AS1",2,3,2
"NAA50",2,3,2
"ATP6V1A",2,3,2
"GRAMD1C",2,3,2
"ZDHHC23",2,3,2
"ZNF80",2,3,2
"TIGIT",2,3,2
"ZBTB20-AS2",2,3,2
"ZBTB20",2,3,2
"ZBTB20-AS4",2,3,2
"LSAMP",2,3,2
"IGSF11",2,3,2
"UPK1B",2,3,2
"B4GALT4",2,3,2
"ARHGAP31",2,3,2
"TMEM39A",2,3,2
"POGLUT1",2,3,2
"TIMMDC1",2,3,2
"ADPRH",2,3,2
"PLA1A",2,3,2
"POPDC2",2,3,2
"COX17",2,3,2
"MAATS1",2,3,2
"NR1I2",2,3,2
"GSK3B",2,3,2
"GPR156",2,3,2
"LRRC58",2,3,2
"FSTL1",2,3,2
"NDUFB4",2,3,2
"HGD",2,3,2
"RABL3",2,3,2
"GTF2E1",2,3,2
"POLQ",2,3,2
"HCLS1",2,3,2
"GOLGB1",2,3,2
"IQCB1",2,3,2
"EAF2",2,3,2
"SLC15A2",2,3,2
"ILDR1",2,3,2
"CD86",2,3,2
"CSTA",2,3,2
"CCDC58",2,3,2
"FAM162A",2,3,2
"WDR5B",2,3,2
"KPNA1",2,3,2
"PARP9",2,3,2
"DTX3L",2,3,2
"PARP15",2,3,2
"PARP14",2,3,2
"HSPBAP1",2,3,2
"DIRC2",2,3,2
"SEMA5B",2,3,2
"PDIA5",2,3,2
"SEC22A",2,3,2
"ADCY5",2,3,2
"MYLK-AS1",2,3,2
"MYLK",2,3,2
"CCDC14",2,3,2
"KALRN",2,3,2
"UMPS",2,3,2
"ITGB5",2,3,2
"MUC13",2,3,2
"HEG1",2,3,2
"SLC12A8",2,3,2
"ZNF148",2,3,2
"SNX4",2,3,2
"OSBPL11",2,3,2
"ALG1L",2,3,2
"ROPN1B",2,3,2
"SLC41A3",2,3,2
"ALDH1L1-AS1",2,3,2
"ALDH1L1",2,3,2
"KLF15",2,3,2
"ZXDC",2,3,2
"UROC1",2,3,2
"TXNRD3",2,3,2
"CHCHD6",2,3,2
"PLXNA1",2,3,2
"TPRA1",2,3,2
"MCM2",2,3,2
"PODXL2",2,3,2
"ABTB1",2,3,2
"MGLL",2,3,2
"KBTBD12",2,3,2
"SEC61A1",2,3,2
"RUVBL1",2,3,2
"EEFSEC",2,3,2
"GATA2",2,3,2
"RPN1",2,3,2
"RAB7A",2,3,2
"ACAD9",2,3,2
"KIAA1257",2,3,2
"EFCC1",2,3,2
"RAB43",2,3,2
"ISY1",2,3,2
"CNBP",2,3,2
"COPG1",2,3,2
"HMCES",2,3,2
"H1FX",2,3,2
"H1FX-AS1",2,3,2
"EFCAB12",2,3,2
"MBD4",2,3,2
"IFT122",2,3,2
"RHO",2,3,2
"PLXND1",2,3,2
"TMCC1",2,3,2
"TMCC1-AS1",2,3,2
"TRH",2,3,2
"ALG1L2",2,3,2
"COL6A6",2,3,2
"PIK3R4",2,3,2
"ATP2C1",2,3,2
"ASTE1",2,3,2
"NEK11",2,3,2
"NUDT16",2,3,2
"MRPL3",2,3,2
"CPNE4",2,3,2
"ACPP",2,3,2
"DNAJC13",2,3,2
"ACKR4",2,3,2
"ACAD11",2,3,2
